ID,TITLE,URL,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP
80076,Mark Zuckerberg hauls in $3.3B from stock options,http://www.cbsnews.com/news/mark-zuckerberg-hauls-in-33b-from-stock-options/,CBS News,b,dZ2gFPmgf0o7YRMBv_6yvQ5qNygUM,www.cbsnews.com,1396428763438
80077,Facebook CEO Mark Zuckerberg's Pay Drops 67 Percent in 2013,http://www.hollywoodreporter.com/news/facebook-ceo-mark-zuckerbergs-pay-692422,Hollywood Reporter,b,dZ2gFPmgf0o7YRMBv_6yvQ5qNygUM,www.hollywoodreporter.com,1396428763640
80078,"Philip Morris shuts Australian plant, blames regulation",http://www.nst.com.my/latest/philip-morris-shuts-australian-plant-blames-regulation-1.545548,New Straits Times,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.nst.com.my,1396429006972
80079,Philip Morris to quit Aust manufacturing,http://au.news.yahoo.com/thewest/a/22320513/philip-morris-to-quit-aust-manufacturing/,The West Australian,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,au.news.yahoo.com,1396429007177
80080,"AUSTRALIA: Philip Morris Shuts Plant, Blames Regulation",http://www.kamcity.com/namnews/asp/newsarticle.asp\?newsid=74662,Namnews,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.kamcity.com,1396429007437
80081,'Good riddance' to Philip Morris: Expert,http://www.sbs.com.au/news/article/2014/04/02/good-riddance-philip-morris-expert,SBS,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.sbs.com.au,1396429007704
80082,Philip Morris to stop cigarette production in Australia,http://www.globalpost.com/dispatch/news/thomson-reuters/140402/philip-morris-stop-cigarette-production-australia,GlobalPost,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.globalpost.com,1396429008133
80083,"Philip Morris Ceases Operation in Australia, Production Shifts to South Korea",http://au.ibtimes.com/articles/546254/20140402/philip-morris-moorabbin-plant-operation.htm,International Business Times AU,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,au.ibtimes.com,1396429008306
80084,News in 90 Seconds,http://www.abc.net.au/news/2014-04-02/news-in-90-seconds/5362722\?section=business,ABC Online,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.abc.net.au,1396429008503
80085,Tobacco major Philip Morris to shut Australia factory,http://www.thehindubusinessline.com/news/international/tobacco-major-philip-morris-to-shut-australia-factory/article5861759.ece,Hindu Business Line,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.thehindubusinessline.com,1396429008794
80086,Philip Morris Axes Australian Cigarette Plant After 60 Years (1),http://www.businessweek.com/news/2014-04-01/philip-morris-to-shut-australian-cigarette-plant-after-60-years,Businessweek,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.businessweek.com,1396429008988
80087,Philip Morris Axes Australian Cigarette Plant After 60 Years,http://www.bloomberg.com/news/2014-04-02/philip-morris-to-shut-australian-cigarette-plant-after-60-years.html,Bloomberg,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.bloomberg.com,1396429009275
80088,Philip Morris to cut 180 jobs,http://www.skynews.com.au/topstories/article.aspx\?id=963523&amp;vId=4393503&amp;cId=Top%20Stories,Sky News Australia,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.skynews.com.au,1396429009527
80089,UPDATE 1-Philip Morris to stop cigarette production in Australia,http://in.reuters.com/article/2014/04/02/philipmorris-australia-idINL4N0MU0N920140402,Reuters,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,in.reuters.com,1396429009735
80090,Philip Morris to close Australian plant,http://finance.ninemsn.com.au/newsbusiness/8823833/philip-morris-to-close-australian-plant,Ninemsn,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,finance.ninemsn.com.au,1396429009938
80091,Philip Morris to close Australia cigarette factory,http://www.bbc.co.uk/news/business-26847200,BBC News,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.bbc.co.uk,1396429010248
80092,Philip Morris ends Australia cigarette production,http://www.marketwatch.com/story/philip-morris-ends-australia-cigarette-production-2014-04-01\?link=MW_latest_news,MarketWatch,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.marketwatch.com,1396429010494
80093,CORRECTED-Philip Morris to stop cigarette production in Australia,http://www.reuters.com/article/2014/04/02/philipmorris-australia-idUSL4N0MU05E20140402,Reuters,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.reuters.com,1396429010721
80094,Philip Morris to quit Australian cigarette manufacturing,http://www.abc.net.au/news/2014-04-02/philip-morris-to-quit-australian-cigarette-manufacturing/5361436,ABC Online,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.abc.net.au,1396429010930
80095,Philip Morris to shed 180 jobs as it ceases manufacturing in Australia,http://www.theguardian.com/business/2014/apr/02/philip-morris-to-shed-180-jobs-as-it-ceases-manufacturing-in-australia,The Guardian,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,www.theguardian.com,1396429011215
80096,Hundreds of job loses expected as BP and tobacco giant Philip Morris close  ...,http://au.news.yahoo.com/vic/a/22321368/Hundreds-of-job-loses-as-BP-and-tobacco-giant-Philip-Morris-close-Australian-plants/,Yahoo\!7 News,b,dSyY6Arm8Lerl8M_FuVrHZZU6BMjM,au.news.yahoo.com,1396429011517
