url,type
www.johnny-lin.com/flib.html#math,phishing
math.nyu.edu/phd_students/barreiro/projects.html,phishing
www.netlib.org/dierckx/index.html,phishing
www.netlib.org/gcv/index.html,phishing
www.lanl.gov/DLDSTP/fast/,phishing
www.people.virginia.edu/~sns5r/resint/imputstf/fortran.html,phishing
www.stats.bris.ac.uk/~peter/,phishing
users.iems.northwestern.edu/~nelsonb/ARTA/,phishing
www159.pair.com/cohns/TimCohn/TAC_Software/Tobit/,phishing
www.ism.ac.jp/ismlib/soft_e.html,phishing
shkim.myweb.uga.edu/epm99.htm,phishing
archives.math.utk.edu/software/msdos/numerical.analysis/spectr21/.html,phishing
www.uic.edu/classes/idsc/ids594/ISOPAC/home.htm,phishing
finance.eller.arizona.edu/lam/rsrch/expdfap.txt,phishing
www.maxwell.syr.edu/maxpages/faculty/cdkao/working/program.zip,phishing
lib.stat.cmu.edu/S/,phishing
www.ms.unimelb.edu.au/~enting/spline.html,phishing
people.bath.ac.uk/mascj/book/programs/general,phishing
www.biostat.uni-hannover.de/staff/bretz/,phishing
astrostatistics.psu.edu/statcodes/,phishing
www.stat.osu.edu/~tjs/,phishing
www.ncdc.noaa.gov/paleo/softlib/redfit/redfit.html,phishing
holocene.meteo.psu.edu/Mann/tools/tools.html,phishing
www.ise.ncsu.edu/jwilson/page3.html,phishing
www.jstatsoft.org/v06/i08/,phishing
www.freewebs.com/nehu_economics/nmel.html,phishing
leeds-faculty.colorado.edu/durhamg/,phishing
www.jstatsoft.org/v02/i05/,phishing
www.stanford.edu/group/SOL/software/lsqr/f77/,phishing
www.stat.ualberta.ca/~hooper/research/alb_software/,phishing
www.netlib.org/odrpack/,phishing
www1.fpl.fs.fed.us/glm.html,phishing
wwwmaths.anu.edu.au/~brent/random.html,phishing
www1.fpl.fs.fed.us/nonpar.html,phishing
bioeng.washington.edu/software/fractal/,phishing
www1.fpl.fs.fed.us/psconf.html,phishing
www.jstatsoft.org/v02/i04/,phishing
www.zoology.ubc.ca/~schluter/software.html,phishing
www1.fpl.fs.fed.us/source.html,phishing
